Domain,Indicator,Moderate threshold,Severe threshold,Time UTC,Latest value,Latest status,Status,Alert,Max-3h value,Max-3h status,+90 min forecast,+90 min status,+90 min source,+3h forecast,+3h status,+3h source,+6h forecast,+6h status,+6h source,Source / Availability
GNSS,Vertical TEC,TEC >= 125 TECU,TEC >= 175 TECU,2024-10-11 02:55 UTC,137.33320725929266,MODERATE,MODERATE,⚠,164.71991225905649,MODERATE,147.10381123348122,MODERATE,Dashboard-generated trend-based forecast,158.71966444980535,MODERATE,Dashboard-generated trend-based forecast,181.95137088245363,SEVERE,Dashboard-generated trend-based forecast,"SERENE raw API + breid-phys/aida-ionosphere v0.1.3, Dashboard-generated trend-based forecast from SERENE analysis"
HF COM,Auroral Absorption,Kp >= 8 global proxy,Kp >= 9 global proxy,2024-10-11 00:00 UTC,8.3,MODERATE,MODERATE,⚠,8.7,MODERATE,N/A,UNAVAILABLE,Unavailable,N/A,UNAVAILABLE,Unavailable,N/A,UNAVAILABLE,Unavailable,"SERENE API Kp/ap; global Kp proxy, not regional"
HF COM,Post-Storm Depression,PSD >= 30%,PSD >= 50%,N/A,N/A,UNAVAILABLE,UNAVAILABLE,—,N/A,UNAVAILABLE,N/A,UNAVAILABLE,Unavailable,N/A,UNAVAILABLE,Unavailable,N/A,UNAVAILABLE,Unavailable,AIDA MUF3000F2-derived PSD; Kp storm gate active
