Domain,Indicator,Moderate threshold,Severe threshold,Time UTC,Latest value,Latest status,Status,Alert,Max-3h value,Max-3h status,+90 min forecast,+90 min status,+90 min source,+3h forecast,+3h status,+3h source,+6h forecast,+6h status,+6h source,Source / Availability
GNSS,Vertical TEC,TEC >= 125 TECU,TEC >= 175 TECU,2026-01-19 23:55 UTC,121.90314872839843,OK,OK,✓,129.29220392182236,MODERATE,93.30850166091658,OK,SERENE official forecast,81.70401050010057,OK,SERENE official forecast,89.23895890202843,OK,SERENE official forecast,SERENE raw API + breid-phys/aida-ionosphere v0.1.3
HF COM,Auroral Absorption,Kp >= 8 global proxy,Kp >= 9 global proxy,2026-01-19 21:00 UTC,8.7,MODERATE,MODERATE,⚠,8.7,MODERATE,N/A,UNAVAILABLE,Unavailable,N/A,UNAVAILABLE,Unavailable,N/A,UNAVAILABLE,Unavailable,"SERENE API Kp/ap; global Kp proxy, not regional"
HF COM,Post-Storm Depression,PSD >= 30%,PSD >= 50%,2026-01-19 23:55 UTC,53.641924559707654,SEVERE,SEVERE,!,85.56523900708052,SEVERE,56.311437217371655,SEVERE,SERENE official forecast,74.91277665895764,SEVERE,SERENE official forecast,72.0386606876399,SEVERE,SERENE official forecast,SERENE raw API + breid-phys/aida-ionosphere v0.1.3
